date,directionCode,r_11,r_12,r_13,r_14,r_1e,r_21,r_22,r_23,r_24,r_2e,r_31,r_32,r_33,r_34,r_3e,r_41,r_42,r_43,r_44,r_4e,totalActivitiesRefcircle,totalCustomersRefcircle,dayname,weekend,transactCount,totalRevenue,Seats,Parking_slots,type_dtsf,mtype,isholiday,region,deltaRevenue
28/06/2019,1,0.739382239,0.1875,0.166666667,0.091324201,0.081081081,0.375,0.84496124,0.243243243,0.5,0,0.166666667,0.135135135,0.909883721,0.097560976,0.011627907,0.091324201,0.125,0.268292683,0.720496894,0.055900621,2691,1311,Fri,no,125,52790,86,0,SF,Hyper,no,4,-8.165600122
29/12/2019,4,0.677419355,0.169491525,0.4,0.083333333,0.016129032,0.101694915,0.862068966,0.027027027,0.285714286,0,0.2,0.081081081,0.75,0.166666667,0.054347826,0.333333333,0.285714286,0.116666667,0.880597015,0.104477612,935,418,Sun,yes,89,72470,548,1900,FoodC,Suburban,no,9,-28.91469551
17/11/2019,1,0.948497854,0,0.076923077,0,0.098712446,0.225806452,0.717948718,0,0.666666667,0.051282051,0.230769231,0.5,0.954022989,0.666666667,0.011494253,0.25,0.333333333,0,0.787878788,0,1006,460,Sun,yes,145,141970,100,37,DT,Urban,no,6,1.982213075
18/01/2020,3,0.951428571,0.101449275,0.25,0.129032258,0.002857143,0.130434783,0.863095238,0.095238095,0.1,0.05952381,0.25,0.285714286,0.791044776,0.217391304,0,0.064516129,0.075,0.043478261,0.909547739,0,1965,747,Sat,yes,71,60290,126,1000,Mall,Urban,no,5,-25.34046627
3/09/2019,4,0.867021277,0.178571429,0.125,0.272727273,0,0.25,0.890140845,0.217391304,0.092307692,0,0.375,0.195652174,0.852813853,0.168421053,0.008658009,0.272727273,0.061538462,0.115789474,0.908831909,0.074074074,2150,1057,Tue,no,82,33980,158,0,SF,Hyper,no,3,-22.07344945
25/02/2020,4,0.911764706,0.117647059,0,1,0.014705882,0.058823529,0.937106918,0.375,0.142857143,0.006289308,0,0.25,0.714285714,0.243243243,0.035714286,0,0.142857143,0.054054054,0.936758893,0.162055336,1083,512,Tue,no,161,52770,158,0,SF,Hyper,no,3,-3.108305505
13/11/2019,3,0.649122807,0.166666667,0.166666667,0.361702128,0,0.166666667,0.913461538,0.032258065,0.25,0.125,0,0.080645161,0.788732394,0.106382979,0.028169014,0.085106383,0.25,0.127659574,0.784,0,735,320,Wed,no,34,19340,110,1500,Mall,Suburban,no,9,-40.69311699
7/04/2019,3,0.866396761,0.240875912,0.235632184,0.183673469,0.001619433,0.094890511,0.804713805,0.028571429,0.108108108,0.060606061,0.097701149,0.257142857,0.774011299,0.183486239,0.011299435,0.142857143,0.216216216,0.091743119,0.845844504,0,4949,2419,Sun,yes,75,51470,151,0,SF,Hyper,no,8,-16.76242655
3/02/2019,3,0.867816092,0.124293785,0.15,0.196078431,0.009578544,0.050847458,0.86031746,0.045454545,0.214285714,0.028571429,0.175,0.204545455,0.850574713,0.204545455,0.003831418,0.098039216,0.285714286,0.227272727,0.917073171,0,3546,1610,Sun,yes,64,45730,151,0,SF,Hyper,no,8,2.979323266
17/02/2020,4,0.827838828,0.152173913,0.263157895,0.413793103,0,0.152173913,0.907090465,0.121621622,0.235294118,0,0.263157895,0.121621622,0.834821429,0.159090909,0,0.275862069,0,0.25,0.897574124,0.051212938,2650,1195,Mon,no,69,46060,188,217,DT,Urban,no,1,27.75603271
20/10/2019,3,0.814465409,0.053008596,0.045977011,0.185185185,0.009433962,0.041547278,0.885117493,0.1125,0.115942029,0.05613577,0.068965517,0.125,0.756329114,0.070559611,0.003164557,0.259259259,0.144927536,0.068126521,0.851936219,0.002277904,4289,1691,Sun,yes,107,71240,162,0,SF,Urban,no,1,12.32599412
11/02/2020,1,0.827044025,0.100840336,0.086956522,0.10619469,0.047169811,0.092436975,0.868226601,0.101167315,0.19047619,0.002463054,0.141304348,0.105058366,0.781981982,0.069333333,0.001801802,0.10619469,0.19047619,0.138666667,0.707446809,0.005319149,5896,2150,Tue,no,89,94990,100,13,DT,Urban,yes,1,29.61942288
30/04/2019,2,0.850487541,0.301204819,0.25,0.263157895,0,0.271084337,0.859005705,0.11627907,0.234693878,0.014669927,0.464285714,0.142857143,0.720670391,0.235294118,0.008379888,0.192982456,0.214285714,0.164705882,0.841221374,0.001526718,4722,2897,Tue,no,54,31970,105,0,SF,Hyper,yes,8,104.1711991
10/11/2018,2,0.881818182,0.177570093,0.153846154,0.123809524,0.003030303,0.214953271,0.896436526,0.076923077,0.166666667,0.030066815,0.384615385,0.110576923,0.818897638,0.1,0.039370079,0.180952381,0.222222222,0.133333333,0.87755102,0.002040816,3642,2162,Sat,yes,73,51800,105,0,SF,Hyper,no,8,39.68443742
7/05/2019,2,0.88961039,0.215686275,0.133333333,0.240963855,0.003896104,0.284313725,0.870875179,0.19266055,0.145454545,0.015781923,0.266666667,0.201834862,0.800653595,0.22,0.026143791,0.228915663,0.2,0.22,0.887348354,0.001733102,3839,2195,Tue,no,57,27010,105,0,SF,Hyper,no,8,-22.00599162
5/08/2019,2,0.834843907,0.28358209,0.256410256,0.171779141,0,0.263681592,0.81768559,0.086956522,0.172413793,0.020742358,0.358974359,0.156521739,0.730659026,0.21,0.011461318,0.220858896,0.137931034,0.2,0.84028777,0.002877698,4749,2678,Mon,no,64,27930,105,0,SF,Hyper,no,8,16.28602531
30/01/2020,,0.73877551,0.191780822,0.108695652,0.083333333,0.008163265,0.123287671,0.850746269,0.096774194,0.1,0.002132196,0.043478261,0.137096774,0.709677419,0.136363636,0,0.166666667,0.2,0.151515152,0.818181818,0.069264069,2543,987,Thu,no,70,56500,80,600,DT,Rural,no,7,10.15426457
22/12/2019,4,0.73877551,0.113553114,0.203389831,0.085820896,0.002040816,0.058608059,0.84077381,0.106382979,0.128834356,0.001488095,0.169491525,0.164893617,0.725233645,0.109271523,0.014953271,0.083955224,0.067484663,0.071192053,0.84807074,0.013665595,7370,2647,Sun,yes,68,69090,94,17,DT,Urban,no,1,-2.905077741
8/02/2020,4,0.748962656,0.144404332,0.202531646,0.12543554,0,0.083032491,0.868531469,0.105,0.099173554,0.001398601,0.139240506,0.12,0.721603563,0.096153846,0.008908686,0.083623693,0.05785124,0.064685315,0.857429719,0.02811245,7050,2393,Sat,yes,86,83540,94,17,DT,Urban,no,1,5.471497608
31/08/2019,3,0.732394366,0.235294118,1,0.122641509,0,0.176470588,0.768115942,0.099601594,0.07751938,0.028985507,0,0.119521912,0.773584906,0.106430155,0.008385744,0.075471698,0.108527132,0.106430155,0.789473684,0,3175,1133,Sat,yes,38,42200,64,80,DT,Suburban,no,2,-31.58463503
15/06/2019,2,0.88,0.162393162,0.12,0.108910891,0.004,0.145299145,0.62987013,0.101669196,0.2,0.019480519,0.12,0.104704097,0.717579251,0.126984127,0.030259366,0.168316832,0.2,0.103174603,0.73553719,0,5015,1990,Sat,yes,67,61610,106,15,DT,Urban,no,1,17.48925424
5/10/2019,2,0.918884664,0.142857143,0.141975309,0.081632653,0.002534854,0.180952381,0.712041885,0.107784431,0.2,0,0.098765432,0.089820359,0.841025641,0.088235294,0.048717949,0.163265306,0.6,0.117647059,0.801587302,0.007936508,3510,1389,Sat,yes,98,88470,106,15,DT,Urban,no,1,26.77392292
5/09/2019,3,0.628742515,0.119705341,0.048275862,0.134328358,0.032934132,0.132596685,0.766081871,0.105263158,0.203703704,0.023391813,0.027586207,0.157894737,0.540816327,0.08975175,0,0.141791045,0.203703704,0.077657543,0.728971963,0.001335113,5350,1667,Thu,no,53,52230,57,21,DT,Rural,no,5,52.14712772
3/02/2020,2,0.689655172,0.210526316,0,0.222222222,0.051724138,0.421052632,0.652777778,0.210526316,0.169811321,0.055555556,0.285714286,0.052631579,0.402597403,0.167630058,0.090909091,0.277777778,0.094339623,0.12716763,0.830985915,0.104225352,1177,484,Mon,no,167,74740,210,0,SF,Urban,no,3,-1.76332793
10/11/2019,4,0.696969697,0,0,0.35,0.03030303,1,0.925531915,0.137254902,0.2,0,0,0.156862745,0.673913043,0.4,0,0.15,0.177777778,0.3,0.839285714,0.142857143,1484,581,Sun,yes,98,105140,53,15,DT,Urban,no,1,15.59001381
5/06/2019,4,0.733333333,0.166666667,0,0.153846154,0.022222222,0.083333333,0.944309927,0.333333333,0.3,0.007263923,0,0.121212121,0.875,0.142857143,0,0.076923077,0.1,0.285714286,0.863945578,0.06122449,1564,690,Wed,no,40,25380,53,15,DT,Urban,no,1,-17.39616687
12/11/2019,4,0.666666667,0,0,1,0,0.5,0.946996466,0.166666667,0.157894737,0.007067138,0,0.166666667,0.8,0.272727273,0.025,0,0.078947368,0.090909091,0.85106383,0.138297872,892,406,Tue,no,53,32120,53,15,DT,Urban,no,1,10.05323017
19/11/2019,1,0.807142857,0.034682081,0.033557047,0,0.107142857,0.080924855,0.650943396,0.110091743,0,0.009433962,0.053691275,0.100917431,0.782051282,0.1,0.012820513,1,0.333333333,0.2,0.625,0.125,943,358,Tue,no,51,26960,92,30,DT,Rural,no,2,-25.25787674
24/07/2019,1,0.829268293,0.12,0.111111111,0.112195122,0.06271777,0.16,0.818791946,0.314285714,0.173913043,0.006711409,0.148148148,0.171428571,0.885117493,0.147540984,0.01305483,0.136585366,0.217391304,0.278688525,0.761061947,0.037610619,2791,1415,Wed,no,128,64310,86,0,SF,Hyper,no,4,-14.48117483
11/09/2019,1,0.799568966,0.134615385,0.222222222,0.080519481,0.086206897,0.115384615,0.846938776,0.25,0,0.010204082,0.111111111,0.25,0.926421405,0.142857143,0.006688963,0.150649351,0.25,0.2,0.769028871,0.041994751,2530,1132,Wed,no,104,53290,86,0,SF,Hyper,no,4,-8.317417955
